super_category,product_category_name,"('review_score', 'mean')","('order_id', 'nunique')","('order_total_price', 'median')","('order_total_price', 'sum')","('order_item_id', 'mean')","('seller_id', 'nunique')","('order_total_price_%', '')","('order_id_%', '')","('seller_id_%', '')",Expectativa de mercado
other,agro_industria_e_comercio,4.0,182,263.5,91634.76,1.25,34,0.01,0.0,0.01,0.46
Alimentos e bebidas,alimentos,4.218181818181818,450,56.97,33180.45,1.1941176470588235,58,0.0,0.0,0.01,0.07
Alimentos e bebidas,alimentos_bebidas,4.315412186379929,227,40.8,17888.62,1.3107142857142857,34,0.0,0.0,0.01,0.07
other,artes,3.9371980676328504,202,99.9,25366.09,1.1004784688995215,36,0.0,0.0,0.01,0.46
other,artes_e_artesanato,4.125,23,49.9,1875.9,1.0833333333333333,13,0.0,0.0,0.0,0.46
Casa e decoração,artigos_de_festas,3.7674418604651163,39,67.9,4685.78,1.0930232558139534,12,0.0,0.0,0.0,0.14
Casa e decoração,artigos_de_natal,4.02054794520548,128,55.9,11372.5,1.3202614379084967,17,0.0,0.0,0.0,0.14
other,audio,3.8254847645429364,350,89.0,52017.71,1.0520547945205478,36,0.0,0.0,0.01,0.46
other,automotivo,4.065511511986708,3897,89.99,664859.42,1.1527255639097744,383,0.04,0.04,0.06,0.46
other,bebes,4.011811023622047,2885,79.9,436052.06,1.1178001952489425,244,0.03,0.03,0.04,0.46
Alimentos e bebidas,bebidas,4.047745358090186,297,47.49,40413.78,1.5065274151436032,36,0.0,0.0,0.01,0.07
Perfumaria e cosméticos + saúde,beleza_saude,4.1427682737169516,8836,84.99,1352030.58,1.1452657551146295,492,0.09,0.09,0.08,0.18
other,brinquedos,4.158640919090687,3886,86.99,508785.26,1.0795151515151515,252,0.03,0.04,0.04,0.46
Casa e decoração,cama_mesa_banho,3.8956631049654304,9417,86.9,1249271.37,1.2343389529724933,196,0.08,0.1,0.03,0.14
Casa e decoração,casa_conforto,3.829885057471264,397,89.9,66188.19,1.1807780320366132,20,0.0,0.0,0.0,0.14
Casa e decoração,casa_conforto_2,3.6296296296296298,24,12.9,876.37,1.3,4,0.0,0.0,0.0,0.14
other,casa_construcao,3.94,490,113.85,99861.89,1.3487603305785123,68,0.01,0.0,0.01,0.46
other,cds_dvds_musicais,4.642857142857143,12,55.0,820.0,1.1428571428571428,1,0.0,0.0,0.0,0.46
other,cine_foto,4.205479452054795,65,79.0,7251.66,1.1369863013698631,14,0.0,0.0,0.0,0.46
Eletrodomésticos,climatizacao,3.969178082191781,253,149.0,67920.69,1.2188552188552189,52,0.0,0.0,0.01,0.10
other,consoles_games,4.0230700976042595,1062,67.0,165351.68,1.0957820738137083,82,0.01,0.01,0.01,0.46
other,construcao_ferramentas_construcao,4.052915766738661,748,99.9,176186.06,1.3877551020408163,128,0.01,0.01,0.02,0.46
other,construcao_ferramentas_ferramentas,4.444444444444445,97,72.2,17359.55,1.058252427184466,24,0.0,0.0,0.0,0.46
other,construcao_ferramentas_iluminacao,4.054054054054054,244,120.0,49768.04,1.419672131147541,37,0.0,0.0,0.01,0.46
