,super_category,product_category_name,variable,value
0,other,agro_industria_e_comercio,"('review_score', 'mean')",4.0
1,Alimentos e bebidas,alimentos,"('review_score', 'mean')",4.218181818181818
2,Alimentos e bebidas,alimentos_bebidas,"('review_score', 'mean')",4.315412186379929
3,other,artes,"('review_score', 'mean')",3.9371980676328495
4,other,artes_e_artesanato,"('review_score', 'mean')",4.125
5,Casa e decoração,artigos_de_festas,"('review_score', 'mean')",3.767441860465116
6,Casa e decoração,artigos_de_natal,"('review_score', 'mean')",4.02054794520548
7,other,audio,"('review_score', 'mean')",3.825484764542936
8,other,automotivo,"('review_score', 'mean')",4.065511511986708
9,other,bebes,"('review_score', 'mean')",4.011811023622047
10,Alimentos e bebidas,bebidas,"('review_score', 'mean')",4.047745358090186
11,Perfumaria e cosméticos + saúde,beleza_saude,"('review_score', 'mean')",4.142768273716952
12,other,brinquedos,"('review_score', 'mean')",4.158640919090687
13,Casa e decoração,cama_mesa_banho,"('review_score', 'mean')",3.8956631049654304
14,Casa e decoração,casa_conforto,"('review_score', 'mean')",3.829885057471264
15,Casa e decoração,casa_conforto_2,"('review_score', 'mean')",3.6296296296296298
16,other,casa_construcao,"('review_score', 'mean')",3.94
17,other,cds_dvds_musicais,"('review_score', 'mean')",4.642857142857143
18,other,cine_foto,"('review_score', 'mean')",4.205479452054795
19,Eletrodomésticos,climatizacao,"('review_score', 'mean')",3.969178082191781
20,other,consoles_games,"('review_score', 'mean')",4.02307009760426
21,other,construcao_ferramentas_construcao,"('review_score', 'mean')",4.052915766738661
22,other,construcao_ferramentas_ferramentas,"('review_score', 'mean')",4.444444444444445
23,other,construcao_ferramentas_iluminacao,"('review_score', 'mean')",4.054054054054054
24,other,construcao_ferramentas_jardim,"('review_score', 'mean')",4.054166666666666
25,other,construcao_ferramentas_seguranca,"('review_score', 'mean')",3.844559585492228
26,other,cool_stuff,"('review_score', 'mean')",4.146341463414634
27,other,dvds_blu_ray,"('review_score', 'mean')",4.079365079365079
28,Eletrodomésticos,eletrodomesticos,"('review_score', 'mean')",4.172456575682382
29,Eletrodomésticos,eletrodomesticos_2,"('review_score', 'mean')",4.142857142857143
30,other,eletronicos,"('review_score', 'mean')",4.037468170243725
31,Eletrodomésticos,eletroportateis,"('review_score', 'mean')",4.149187592319055
32,other,esporte_lazer,"('review_score', 'mean')",4.107986111111111
33,Moda e acessórios,fashion_bolsas_e_acessorios,"('review_score', 'mean')",4.144678764100049
34,Moda e acessórios,fashion_calcados,"('review_score', 'mean')",4.233716475095785
35,Moda e acessórios,fashion_esporte,"('review_score', 'mean')",4.258064516129032
36,Moda e acessórios,fashion_roupa_feminina,"('review_score', 'mean')",3.78
37,Moda e acessórios,fashion_roupa_infanto_juvenil,"('review_score', 'mean')",4.5
38,Moda e acessórios,fashion_roupa_masculina,"('review_score', 'mean')",3.6412213740458017
39,Moda e acessórios,fashion_underwear_e_moda_praia,"('review_score', 'mean')",3.976923076923077
40,other,ferramentas_jardim,"('review_score', 'mean')",4.042735042735043
41,other,flores,"('review_score', 'mean')",4.419354838709677
42,other,fraldas_higiene,"('review_score', 'mean')",3.2564102564102564
43,other,industria_comercio_e_negocios,"('review_score', 'mean')",4.101503759398496
44,other,informatica_acessorios,"('review_score', 'mean')",3.9308192126385526
45,other,instrumentos_musicais,"('review_score', 'mean')",4.152592592592592
46,other,la_cuisine,"('review_score', 'mean')",4.0
47,other,livros_importados,"('review_score', 'mean')",4.4
48,other,livros_interesse_geral,"('review_score', 'mean')",4.446265938069216
49,other,livros_tecnicos,"('review_score', 'mean')",4.368421052631579
50,other,malas_acessorios,"('review_score', 'mean')",4.315257352941177
51,other,market_place,"('review_score', 'mean')",4.019417475728155
52,Casa e decoração,moveis_colchao_e_estofado,"('review_score', 'mean')",3.8157894736842106
53,Casa e decoração,moveis_cozinha_area_de_servico_jantar_e_jardim,"('review_score', 'mean')",3.974910394265233
54,Casa e decoração,moveis_decoracao,"('review_score', 'mean')",3.9034929780338494
55,Casa e decoração,moveis_escritorio,"('review_score', 'mean')",3.4931831653823355
56,Casa e decoração,moveis_quarto,"('review_score', 'mean')",4.118181818181818
57,Casa e decoração,moveis_sala,"('review_score', 'mean')",3.904382470119522
58,other,musica,"('review_score', 'mean')",4.2105263157894735
59,other,papelaria,"('review_score', 'mean')",4.193857199840447
60,other,pc_gamer,"('review_score', 'mean')",3.333333333333333
61,other,pcs,"('review_score', 'mean')",4.175
